zip,city,county,State
27310,Oak Ridge,Guilford County,NC
27311,Pelham,Caswell County,NC
27312,Pittsboro,Chatham County,NC
27313,Pleasant Garden,Guilford County,NC
27314,Prospect Hill,Caswell County,NC
27315,Providence,Caswell County,NC
27316,Ramseur,Randolph County,NC
27317,Randleman,Randolph County,NC
27320,Reidsville,Rockingham County,NC
27325,Robbins,Moore County,NC
27326,Ruffin,Rockingham County,NC
27330,Sanford,Lee County,NC
27332,Sanford,Lee County,NC
27341,Seagrove,Randolph County,NC
27343,Semora,Person County,NC
27344,Siler City,Chatham County,NC
27349,,Alamance County,NC
27350,Sophia,Randolph County,NC
27355,Staley,Randolph County,NC
27356,Star,Montgomery County,NC
27357,Stokesdale,Rockingham County,NC
27358,Summerfield,Guilford County,NC
27360,Thomasville,Davidson County,NC
27370,Trinity,Randolph County,NC
27371,Troy,Montgomery County,NC
27376,West End,Moore County,NC
27377,Whitsett,Guilford County,NC
27379,Yanceyville,Caswell County,NC
27401,Greensboro,Guilford County,NC
27403,Greensboro,Guilford County,NC
27405,Greensboro,Guilford County,NC
27406,Greensboro,Guilford County,NC
27407,Greensboro,Guilford County,NC
27408,Greensboro,Guilford County,NC
27409,Greensboro,Guilford County,NC
27410,Greensboro,Guilford County,NC
27455,Greensboro,Guilford County,NC
27501,Angier,Harnett County,NC
27502,Apex,Wake County,NC
27503,Bahama,Durham County,NC
27504,Benson,Johnston County,NC
27505,Broadway,Harnett County,NC
27507,Bullock,Vance County,NC
27508,Bunn,Franklin County,NC
27509,Butner,Granville County,NC
27510,Carrboro,Orange County,NC
27511,Cary,Wake County,NC
27513,Cary,Wake County,NC
27514,Chapel Hill,Orange County,NC
27516,Carrboro,Orange County,NC
27517,Chapel Hill,Orange County,NC
27518,Cary,Wake County,NC
27519,Cary,Wake County,NC
27520,Clayton,Johnston County,NC
27521,Coats,Harnett County,NC
27522,Creedmoor,Granville County,NC
27523,Apex,Wake County,NC
27524,Four Oaks,Johnston County,NC
27525,Franklinton,Franklin County,NC
27526,Fuquay Varina,Wake County,NC
27527,Clayton,Johnston County,NC
27529,Garner,Wake County,NC
27530,Goldsboro,Wayne County,NC
27534,Goldsboro,Wayne County,NC
27536,Henderson,Vance County,NC
27537,Henderson,Vance County,NC
27539,Apex,Wake County,NC
27540,Holly Springs,Wake County,NC
27541,Hurdle Mills,Person County,NC
27542,Kenly,Johnston County,NC
27544,Kittrell,Vance County,NC
27545,Knightdale,Wake County,NC
27546,Lillington,Harnett County,NC
27549,Louisburg,Franklin County,NC
27551,Macon,Warren County,NC
27553,Manson,Vance County,NC
27557,Middlesex,Nash County,NC
27559,Moncure,Chatham County,NC
27560,Morrisville,Wake County,NC
27562,New Hill,Wake County,NC
27563,Norlina,Warren County,NC
27565,Oxford,Granville County,NC
27569,Princeton,Johnston County,NC
27571,Rolesville,Wake County,NC
27572,Rougemont,Person County,NC
27573,Roxboro,Person County,NC
27574,Roxboro,Person County,NC
27576,Selma,Johnston County,NC
27577,Smithfield,Johnston County,NC
27581,Oxford,Granville County,NC
27583,Timberlake,Person County,NC
27587,Wake Forest,Wake County,NC
27589,Warrenton,Warren County,NC
27591,Wendell,Wake County,NC
27592,Willow Spring,Johnston County,NC
27596,Youngsville,Franklin County,NC
27597,Zebulon,Wake County,NC
27601,Raleigh,Wake County,NC
27603,Raleigh,Wake County,NC
27604,Raleigh,Wake County,NC
27605,Raleigh,Wake County,NC
27606,Raleigh,Wake County,NC
27607,Raleigh,Wake County,NC
27608,Raleigh,Wake County,NC
27609,Raleigh,Wake County,NC
27610,Raleigh,Wake County,NC
27612,Raleigh,Wake County,NC
27613,Raleigh,Wake County,NC
27614,Raleigh,Wake County,NC
27615,Raleigh,Wake County,NC
27616,Raleigh,Wake County,NC
27617,Raleigh,Wake County,NC
27701,Durham,Durham County,NC
27703,Durham,Durham County,NC
27704,Durham,Durham County,NC
27705,Durham,Durham County,NC
27707,Durham,Durham County,NC
27712,Durham,Durham County,NC
27713,Durham,Durham County,NC
27801,Rocky Mount,Edgecombe County,NC
27803,Rocky Mount,Nash County,NC
27804,Rocky Mount,Nash County,NC
27805,Aulander,Hertford County,NC
27806,Aurora,Beaufort County,NC
27807,Bailey,Nash County,NC
27808,Bath,Beaufort County,NC
27809,,Nash County,NC
27810,Belhaven,Beaufort County,NC
27812,Bethel,Edgecombe County,NC
27813,Wilson,Wilson County,NC
27814,Blounts Creek,Beaufort County,NC
27816,Castalia,Franklin County,NC
27817,Chocowinity,Beaufort County,NC
27820,Conway,Northampton County,NC
27822,Elm City,Wilson County,NC
27823,Enfield,Halifax County,NC
27824,Engelhard,Hyde County,NC
27826,Fairfield,Hyde County,NC
27828,Farmville,Pitt County,NC
27829,,Pitt County,NC
27830,,Wayne County,NC
27831,Gaston,Northampton County,NC
27832,Gaston,Northampton County,NC
27834,Greenville,Pitt County,NC
27837,Grimesland,Pitt County,NC
27839,Halifax,Halifax County,NC
27840,,Martin County,NC
27842,Henrico,Northampton County,NC
27843,,Martin County,NC
27844,Hollister,Halifax County,NC
27845,,Northampton County,NC
27846,Jamesville,Martin County,NC
27847,Kelford,Bertie County,NC
27849,Lewiston Woodville,Bertie County,NC
27850,Littleton,Halifax County,NC
27851,Lucama,Wilson County,NC
27852,Pinetops,Edgecombe County,NC
27853,Conway,Northampton County,NC
27855,Murfreesboro,Hertford County,NC
27856,Nashville,Nash County,NC
27857,,Martin County,NC
27858,Greenville,Pitt County,NC
27860,Pantego,Washington County,NC
27862,Pendleton,Northampton County,NC
27863,Pikeville,Wayne County,NC
27864,Pinetops,Edgecombe County,NC
27866,Pleasant Hill,Northampton County,NC
27869,Rich Square,Northampton County,NC
27870,Roanoke Rapids,Halifax County,NC
27871,,Martin County,NC
27872,Roxobel,Bertie County,NC
27874,Scotland Neck,Halifax County,NC
27875,Scranton,Hyde County,NC
27876,Seaboard,Northampton County,NC
27880,Sims,Wilson County,NC
27882,Spring Hope,Nash County,NC
27883,Stantonsburg,Wilson County,NC
27884,Stokes,Pitt County,NC
27885,Swanquarter,Hyde County,NC
27886,Tarboro,Edgecombe County,NC
27888,Walstonburg,Greene County,NC
27889,Washington,Beaufort County,NC
27890,Weldon,Halifax County,NC
27891,Whitakers,Nash County,NC
27892,Williamston,Martin County,NC
27893,Wilson,Wilson County,NC
27896,Wilson,Wilson County,NC
27897,Woodland,Northampton County,NC
27909,Elizabeth City,Pasquotank County,NC
27910,Ahoskie,Hertford County,NC
27915,,Dare County,NC
27916,Aydlett,Currituck County,NC
27917,Barco,Currituck County,NC
27919,Belvidere,Perquimans County,NC
27920,Frisco,Dare County,NC
27921,Camden,Camden County,NC
27923,,Currituck County,NC
27924,,Bertie County,NC
27925,Columbia,Tyrrell County,NC
27926,Corapeake,Gates County,NC
27927,,Currituck County,NC
27928,Creswell,Washington County,NC
27929,Currituck,Currituck County,NC
27932,Edenton,Chowan County,NC
27935,Eure,Gates County,NC
27936,Frisco,Dare County,NC
27937,Gates,Gates County,NC
27938,Gatesville,Gates County,NC
27939,,Currituck County,NC
27941,Harbinger,Currituck County,NC
27943,Hatteras,Dare County,NC
27944,,Perquimans County,NC
27946,Hobbsville,Gates County,NC
27947,Poplar Branch,Currituck County,NC
27948,,Dare County,NC
27949,Southern Shores,Dare County,NC
27950,Knotts Island,Currituck County,NC
27953,,Dare County,NC
27954,Manteo,Dare County,NC
27956,Maple,Currituck County,NC
27957,Merry Hill,Bertie County,NC
27958,Moyock,Currituck County,NC
27959,,Dare County,NC
27962,Plymouth,Washington County,NC
27964,,Currituck County,NC
27965,Aydlett,Currituck County,NC
27966,,Currituck County,NC
27968,Rodanthe,Dare County,NC
27970,Roper,Washington County,NC
27972,Salvo,Dare County,NC
27973,Shawboro,Currituck County,NC
27974,Shawboro,Camden County,NC
27976,South Mills,Camden County,NC
27978,Stumpy Point,Dare County,NC
27979,Hobbsville,Gates County,NC
27980,,Chowan County,NC
27981,Wanchese,Dare County,NC
27982,Rodanthe,Dare County,NC
27983,,Bertie County,NC
28001,Albemarle,Stanly County,NC
28006,Alexis,Lincoln County,NC
28009,Albemarle,Stanly County,NC
28012,Belmont,Gaston County,NC
28016,Bessemer City,Gaston County,NC
28017,Boiling Springs,Cleveland County,NC
28018,Bostic,Rutherford County,NC
28020,Casar,Cleveland County,NC
28021,Cherryville,Gaston County,NC
28023,China Grove,Rowan County,NC
28025,Concord,Cabarrus County,NC
28027,Concord,Cabarrus County,NC
28031,Cornelius,Mecklenburg County,NC
28032,Cramerton,Gaston County,NC
28033,Crouse,Lincoln County,NC
28034,Dallas,Gaston County,NC
28036,Davidson,Mecklenburg County,NC
28037,Denver,Lincoln County,NC
28040,Ellenboro,Rutherford County,NC
28042,,Cleveland County,NC
28043,Forest City,Rutherford County,NC
28052,Gastonia,Gaston County,NC
28054,Gastonia,Gaston County,NC
28056,Gastonia,Gaston County,NC
28071,Gold Hill,Rowan County,NC
28073,Grover,Cleveland County,NC
28075,Harrisburg,Cabarrus County,NC
28078,Huntersville,Mecklenburg County,NC
28079,Lake Park,Union County,NC
28080,Iron Station,Lincoln County,NC
28081,Kannapolis,Cabarrus County,NC
28083,Kannapolis,Cabarrus County,NC
28086,Kings Mountain,Cleveland County,NC
28088,Landis,Rowan County,NC
28090,,Cleveland County,NC
28091,Lilesville,Anson County,NC
28092,Lincolnton,Lincoln County,NC
28097,,Stanly County,NC
28098,Lowell,Gaston County,NC
28101,Mc Adenville,Gaston County,NC
28103,Marshville,Union County,NC
28104,Matthews,Union County,NC
28105,Matthews,Mecklenburg County,NC
28107,Midland,Cabarrus County,NC
28110,Monroe,Union County,NC
28112,Monroe,Union County,NC
28114,Mooresboro,Rutherford County,NC
28115,Mooresville,Iredell County,NC
28117,Mooresville,Iredell County,NC
28119,Morven,Anson County,NC
28120,Mount Holly,Gaston County,NC
28124,Mount Pleasant,Cabarrus County,NC
28125,Mount Ulla,Rowan County,NC
28127,New London,Stanly County,NC
28128,Norwood,Stanly County,NC
28129,Oakboro,Stanly County,NC
28133,Peachland,Anson County,NC
28134,Pineville,Mecklenburg County,NC
28135,Polkton,Anson County,NC
28136,Polkville,Cleveland County,NC
28137,Richfield,Stanly County,NC
28138,Rockwell,Rowan County,NC
28139,Rutherfordton,Rutherford County,NC
28144,Salisbury,Rowan County,NC
28146,Salisbury,Rowan County,NC
28147,Salisbury,Rowan County,NC
28150,,Cleveland County,NC
28152,Shelby,Cleveland County,NC
28159,Spencer,Rowan County,NC
28160,Spindale,Rutherford County,NC
28163,Stanfield,Stanly County,NC
28164,Stanley,Gaston County,NC
28166,Troutman,Iredell County,NC
28167,Union Mills,Rutherford County,NC
28168,Vale,Catawba County,NC
28170,Wadesboro,Anson County,NC
28173,Waxhaw,Union County,NC
28174,Wingate,Union County,NC
28202,Charlotte,Mecklenburg County,NC
28203,Charlotte,Mecklenburg County,NC
28204,Charlotte,Mecklenburg County,NC
28205,Charlotte,Mecklenburg County,NC
28206,Charlotte,Mecklenburg County,NC
28207,Charlotte,Mecklenburg County,NC
28208,Charlotte,Mecklenburg County,NC
28209,Charlotte,Mecklenburg County,NC
28210,Charlotte,Mecklenburg County,NC
28211,Charlotte,Mecklenburg County,NC
28212,Charlotte,Mecklenburg County,NC
28213,Charlotte,Mecklenburg County,NC
28214,Charlotte,Mecklenburg County,NC
28215,Charlotte,Mecklenburg County,NC
28216,Charlotte,Mecklenburg County,NC
28217,Charlotte,Mecklenburg County,NC
28226,Charlotte,Mecklenburg County,NC
28227,Mint Hill,Mecklenburg County,NC
28262,Charlotte,Mecklenburg County,NC
28269,Charlotte,Mecklenburg County,NC
28270,Charlotte,Mecklenburg County,NC
28273,Charlotte,Mecklenburg County,NC
28277,Charlotte,Mecklenburg County,NC
28278,Charlotte,Mecklenburg County,NC
28301,Fayetteville,Cumberland County,NC
28303,Fayetteville,Cumberland County,NC
28304,Fayetteville,Cumberland County,NC
28305,Fayetteville,Cumberland County,NC
28306,Fayetteville,Cumberland County,NC
28311,Fayetteville,Cumberland County,NC
28312,Fayetteville,Cumberland County,NC
28314,Fayetteville,Cumberland County,NC
28315,Aberdeen,Moore County,NC
28318,Autryville,Sampson County,NC
28320,Bladenboro,Bladen County,NC
28323,Linden,Harnett County,NC
28326,Cameron,Harnett County,NC
28327,Carthage,Moore County,NC
28328,Clinton,Sampson County,NC
28333,Dudley,Wayne County,NC
28334,Dunn,Harnett County,NC
28337,Elizabethtown,Bladen County,NC
28338,Ellerbe,Richmond County,NC
28339,Erwin,Harnett County,NC
28340,,Robeson County,NC
28341,Faison,Sampson County,NC
28343,Gibson,Scotland County,NC
28344,Wade,Cumberland County,NC
28345,Hamlet,Richmond County,NC
28348,Hope Mills,Cumberland County,NC
28349,Kenansville,Duplin County,NC
28351,Laurel Hill,Scotland County,NC
28352,Laurinburg,Scotland County,NC
28356,Linden,Cumberland County,NC
28357,Lumber Bridge,Robeson County,NC
28358,Lumberton,Robeson County,NC
28360,Lumberton,Robeson County,NC
28363,Wagram,Scotland County,NC
28364,Maxton,Robeson County,NC
28365,Mount Olive,Duplin County,NC
28366,Newton Grove,Sampson County,NC
28369,Proctorville,Robeson County,NC
28371,Parkton,Robeson County,NC
28372,Pembroke,Robeson County,NC
28373,Pinebluff,Moore County,NC
28374,Pinehurst,Moore County,NC
28376,Raeford,Hoke County,NC
28377,Red Springs,Robeson County,NC
28379,Rockingham,Richmond County,NC
28382,Roseboro,Sampson County,NC
28383,Elrod,Robeson County,NC
28384,Saint Pauls,Robeson County,NC
28385,Salemburg,Sampson County,NC
28386,,Robeson County,NC
28387,Southern Pines,Moore County,NC
28390,Spring Lake,Harnett County,NC
28391,Stedman,Cumberland County,NC
28393,Turkey,Sampson County,NC
28394,Vass,Moore County,NC
28395,Fayetteville,Cumberland County,NC
28396,Wagram,Scotland County,NC
28398,Warsaw,Duplin County,NC
28401,Wilmington,New Hanover County,NC
28403,Wilmington,New Hanover County,NC
28405,Wilmington,New Hanover County,NC
28409,Wilmington,New Hanover County,NC
28411,Wilmington,New Hanover County,NC
28412,Wilmington,New Hanover County,NC
28420,Ash,Brunswick County,NC
28421,Atkinson,Pender County,NC
28422,Bolivia,Brunswick County,NC
28423,Bolton,Columbus County,NC
28425,Burgaw,Pender County,NC
28428,Carolina Beach,New Hanover County,NC
28429,Castle Hayne,New Hanover County,NC
28430,Cerro Gordo,Columbus County,NC
28431,Chadbourn,Columbus County,NC
28432,Clarendon,Columbus County,NC
28433,Clarkton,Bladen County,NC
28435,Currie,Pender County,NC
28436,Delco,Columbus County,NC
28438,Evergreen,Columbus County,NC
28439,Fair Bluff,Columbus County,NC
28441,Garland,Sampson County,NC
28442,Hallsboro,Columbus County,NC
28443,Hampstead,Pender County,NC
28444,Harrells,Sampson County,NC
28445,Holly Ridge,Onslow County,NC
28447,Harrells,Bladen County,NC
28449,Kure Beach,New Hanover County,NC
28450,Lake Waccamaw,Columbus County,NC
28451,Leland,Brunswick County,NC
28453,Magnolia,Duplin County,NC
28454,Maple Hill,Onslow County,NC
28455,Nakina,Columbus County,NC
28456,Riegelwood,Columbus County,NC
28457,Rocky Point,Pender County,NC
28458,Rose Hill,Duplin County,NC
28460,Sneads Ferry,Onslow County,NC
28461,Southport,Brunswick County,NC
28462,Supply,Brunswick County,NC
28463,Tabor City,Columbus County,NC
28464,Teachey,Duplin County,NC
28465,Oak Island,Brunswick County,NC
28466,Wallace,Duplin County,NC
28467,Carolina Shores,Brunswick County,NC
28468,Sunset Beach,Brunswick County,NC
28469,Ocean Isle Beach,Brunswick County,NC
28470,Shallotte,Brunswick County,NC
28472,Whiteville,Columbus County,NC
28478,Willard,Pender County,NC
28479,Winnabow,Brunswick County,NC
28480,Wrightsville Beach,New Hanover County,NC
28501,Kinston,Lenoir County,NC
28504,Kinston,Lenoir County,NC
28508,Albertson,Duplin County,NC
28510,Minnesott Beach,Pamlico County,NC
28511,Atlantic,Carteret County,NC
28512,,Carteret County,NC
28513,Ayden,Pitt County,NC
28515,,Pamlico County,NC
28516,Beaufort,Carteret County,NC
28518,Beulaville,Duplin County,NC
28520,,Carteret County,NC
28521,Chinquapin,Duplin County,NC
28523,Cove City,Craven County,NC
28524,,Carteret County,NC
28525,Deep Run,Lenoir County,NC
28526,Dover,Craven County,NC
28527,Ernul,Craven County,NC
28528,Beaufort,Carteret County,NC
28529,,Pamlico County,NC
28530,Grifton,Pitt County,NC
28531,Harkers Island,Carteret County,NC
28532,Havelock,Craven County,NC
28538,Hookerton,Greene County,NC
28539,Hubert,Onslow County,NC
28540,Jacksonville,Onslow County,NC
28544,Midway Park,Onslow County,NC
28546,Jacksonville,Onslow County,NC
28551,La Grange,Lenoir County,NC
28553,,Carteret County,NC
28555,Maysville,Onslow County,NC
28556,Oriental,Pamlico County,NC
28557,Morehead City,Carteret County,NC
28560,New Bern,Craven County,NC
28562,Trent Woods,Craven County,NC
28570,Newport,Carteret County,NC
28571,Oriental,Pamlico County,NC
28572,Pink Hill,Lenoir County,NC
28573,Pollocksville,Jones County,NC
28574,Richlands,Onslow County,NC
28577,,Carteret County,NC
28578,Seven Springs,Wayne County,NC
28579,Marshallberg,Carteret County,NC
28580,Snow Hill,Greene County,NC
28581,Stacy,Carteret County,NC
28582,Stella,Onslow County,NC
28584,,Carteret County,NC
28585,Trenton,Jones County,NC
28586,Vanceboro,Craven County,NC
28587,Vandemere,Pamlico County,NC
28590,Winterville,Pitt County,NC
28594,Emerald Isle,Carteret County,NC
28601,Hickory,Catawba County,NC
28602,Hickory,Catawba County,NC
28604,Banner Elk,Avery County,NC
28605,Blowing Rock,Watauga County,NC
28606,Boomer,Wilkes County,NC
28607,Boone,Watauga County,NC
28609,Catawba,Catawba County,NC
28610,Claremont,Catawba County,NC
28611,Collettsville,Caldwell County,NC
28612,,Burke County,NC
28613,Conover,Catawba County,NC
28615,Creston,Ashe County,NC
28617,Crumpler,Ashe County,NC
28618,Deep Gap,Watauga County,NC
28621,Elkin,Surry County,NC
28622,Elk Park,Avery County,NC
28623,Ennice,Alleghany County,NC
28624,Ferguson,Wilkes County,NC
28625,Statesville,Iredell County,NC
28626,Fleetwood,Ashe County,NC
28627,Glade Valley,Alleghany County,NC
28630,Granite Falls,Caldwell County,NC
28631,Grassy Creek,Ashe County,NC
28634,Harmony,Iredell County,NC
28635,Hays,Wilkes County,NC
28636,Hiddenite,Alexander County,NC
28638,Sawmills,Caldwell County,NC
28640,Jefferson,Ashe County,NC
28642,Jonesville,Yadkin County,NC
28643,Lansing,Ashe County,NC
28644,Laurel Springs,Alleghany County,NC
28645,Lenoir,Caldwell County,NC
28646,Linville,Avery County,NC
28650,Maiden,Catawba County,NC
28651,Millers Creek,Wilkes County,NC
28654,Moravian Falls,Wilkes County,NC
28655,Morganton,Burke County,NC
28657,Newland,Avery County,NC
28658,Newton,Catawba County,NC
28659,North Wilkesboro,Wilkes County,NC
28660,Olin,Iredell County,NC
28663,Piney Creek,Alleghany County,NC
28665,Purlear,Wilkes County,NC
28668,Roaring Gap,Alleghany County,NC
28669,Roaring River,Wilkes County,NC
28670,Ronda,Wilkes County,NC
28673,Sherrills Ford,Catawba County,NC
28675,Sparta,Alleghany County,NC
28676,Elkin,Surry County,NC
28677,Statesville,Iredell County,NC
28678,Stony Point,Alexander County,NC
28679,Sugar Grove,Watauga County,NC
28681,Taylorsville,Alexander County,NC
28682,Terrell,Catawba County,NC
28683,Thurmond,Surry County,NC
28684,Todd,Watauga County,NC
28685,Traphill,Wilkes County,NC
28689,Union Grove,Iredell County,NC
28690,Valdese,Burke County,NC
28692,Sugar Grove,Watauga County,NC
28693,Warrensville,Ashe County,NC
28694,West Jefferson,Ashe County,NC
28697,Wilkesboro,Wilkes County,NC
28698,Zionville,Watauga County,NC
28701,Alexander,Buncombe County,NC
28702,,Graham County,NC
28704,Arden,Buncombe County,NC
28705,Bakersville,Mitchell County,NC
28707,Balsam,Jackson County,NC
28708,Balsam Grove,Transylvania County,NC
28709,Barnardsville,Buncombe County,NC
28711,Black Mountain,Buncombe County,NC
28712,Brevard,Transylvania County,NC
28713,Bryson City,Swain County,NC
28714,Burnsville,Yancey County,NC
28715,Candler,Buncombe County,NC
28716,Canton,Haywood County,NC
28717,Cashiers,Jackson County,NC
28718,Brevard,Transylvania County,NC
28721,Clyde,Haywood County,NC
28722,Tryon,Polk County,NC
28723,Cullowhee,Jackson County,NC
28726,East Flat Rock,Henderson County,NC
28729,Etowah,Henderson County,NC
28730,Fairview,Buncombe County,NC
28731,Flat Rock,Henderson County,NC
28732,Fletcher,Henderson County,NC
28734,Franklin,Macon County,NC
28736,Glenville,Jackson County,NC
28739,Hendersonville,Henderson County,NC
28740,Bakersville,Mitchell County,NC
28741,Highlands,Macon County,NC
28742,Horse Shoe,Henderson County,NC
28743,Hot Springs,Madison County,NC
28745,Lake Junaluska,Haywood County,NC
28746,Lake Lure,Rutherford County,NC
28747,Lake Toxaway,Transylvania County,NC
28748,Leicester,Buncombe County,NC
28751,Maggie Valley,Haywood County,NC
28752,Marion,McDowell County,NC
28753,Marshall,Madison County,NC
28754,Mars Hill,Madison County,NC
28756,,Polk County,NC
28759,Mills River,Henderson County,NC
28761,Nebo,McDowell County,NC
28762,Old Fort,McDowell County,NC
28763,Otto,Macon County,NC
28766,Penrose,Transylvania County,NC
28768,Pisgah Forest,Transylvania County,NC
28771,,Graham County,NC
28772,Brevard,Transylvania County,NC
28773,Saluda,Polk County,NC
28774,Sapphire,Transylvania County,NC
28775,Scaly Mountain,Macon County,NC
28777,Spruce Pine,Mitchell County,NC
28778,Swannanoa,Buncombe County,NC
28779,Sylva,Jackson County,NC
28781,Topton,Macon County,NC
28782,Columbus,Polk County,NC
28783,Tuckasegee,Jackson County,NC
28785,Waynesville,Haywood County,NC
28786,Waynesville,Haywood County,NC
28787,Weaverville,Buncombe County,NC
28789,Whittier,Jackson County,NC
28790,Zirconia,Henderson County,NC
28791,Hendersonville,Henderson County,NC
28792,Hendersonville,Henderson County,NC
28801,Asheville,Buncombe County,NC
28803,Asheville,Buncombe County,NC
28804,Asheville,Buncombe County,NC
28805,Asheville,Buncombe County,NC
28806,Asheville,Buncombe County,NC
28901,Andrews,Cherokee County,NC
28902,Brasstown,Cherokee County,NC
28904,Hayesville,Clay County,NC
28905,Marble,Cherokee County,NC
28906,Murphy,Cherokee County,NC
28909,Warne,Clay County,NC
29001,Alcolu,Clarendon County,SC
29003,Bamberg,Bamberg County,SC
29006,Batesburg-Leesville,Lexington County,SC
29009,Bethune,Kershaw County,SC
29010,Bishopville,Lee County,SC
29014,Blackstock,Fairfield County,SC
29015,Blair,Fairfield County,SC
29016,Blythewood,Richland County,SC
29018,Bowman,Orangeburg County,SC
29020,Camden,Kershaw County,SC
29030,Cameron,Calhoun County,SC
29031,Carlisle,Chester County,SC
29032,Cassatt,Kershaw County,SC
29033,Cayce,Lexington County,SC
29036,Chapin,Lexington County,SC
29037,Chappells,Newberry County,SC
29038,Cope,Orangeburg County,SC
29039,Cordova,Orangeburg County,SC
29040,Dalzell,Sumter County,SC
29042,Denmark,Bamberg County,SC
29044,,Richland County,SC
29045,Elgin,Kershaw County,SC
29047,Elloree,Orangeburg County,SC
29048,Eutawville,Orangeburg County,SC
29051,Gable,Sumter County,SC
29052,Gadsden,Richland County,SC
29053,Gaston,Lexington County,SC
29054,Gilbert,Lexington County,SC
29055,Great Falls,Chester County,SC
29056,Greeleyville,Williamsburg County,SC
29058,Heath Springs,Lancaster County,SC
29059,Holly Hill,Orangeburg County,SC
29061,Hopkins,Richland County,SC
29063,Irmo,Richland County,SC
29065,Jenkinsville,Fairfield County,SC
29067,Kershaw,Lancaster County,SC
29069,Lamar,Darlington County,SC
29070,,Lexington County,SC
29072,Lexington,Lexington County,SC
29073,Lexington,Lexington County,SC
29074,Liberty Hill,Kershaw County,SC
29075,Little Mountain,Richland County,SC
29078,Lugoff,Kershaw County,SC
29080,Lynchburg,Sumter County,SC
29081,Ehrhardt,Bamberg County,SC
29082,Lodge,Colleton County,SC
29101,Mc Bee,Chesterfield County,SC
29102,Manning,Clarendon County,SC
29104,Mayesville,Lee County,SC
29105,Monetta,Aiken County,SC
29107,,Orangeburg County,SC
29108,Newberry,Newberry County,SC
29112,,Orangeburg County,SC
29114,Olanta,Florence County,SC
29115,Orangeburg,Orangeburg County,SC
29118,Orangeburg,Orangeburg County,SC
29123,Pelion,Lexington County,SC
29125,Pinewood,Sumter County,SC
29126,Pomaria,Newberry County,SC
29127,Prosperity,Newberry County,SC
29128,Rembert,Sumter County,SC
29129,Ridge Spring,Aiken County,SC
29130,Ridgeway,Fairfield County,SC
29135,Saint Matthews,Calhoun County,SC
29137,,Aiken County,SC
29138,Saluda,Saluda County,SC
29142,Santee,Orangeburg County,SC
29146,Springfield,Orangeburg County,SC
29148,Summerton,Clarendon County,SC
29150,Sumter,Sumter County,SC
